BIGConf,audiofile,framedurationms,kbitspersecond,PER,exp,PLC,pesq,stoi
2,mic_F01_sa2,10.0,32,0.3,0,AllZeroesPLC,3.238422393798828,0.9781326643725516
2,mic_F01_sa2,10.0,32,0.3,0,RepeatPreviousPLC,2.9566502571105957,0.9819333930176503
2,mic_F01_sa2,10.0,32,0.3,0,Pattern,2.689767599105835,0.982405455975594
2,mic_F01_sa2,10.0,32,0.3,1,AllZeroesPLC,2.600233316421509,0.9630526929835425
2,mic_F01_sa2,10.0,32,0.3,1,RepeatPreviousPLC,2.887315511703491,0.9823262105114744
2,mic_F01_sa2,10.0,32,0.3,1,Pattern,2.5204665660858154,0.9771405604806334
2,mic_F01_sa2,10.0,32,0.3,2,AllZeroesPLC,3.1713709831237793,0.9778035673308934
2,mic_F01_sa2,10.0,32,0.3,2,RepeatPreviousPLC,3.165677309036255,0.9814094105272618
2,mic_F01_sa2,10.0,32,0.3,2,Pattern,2.90858793258667,0.9809901996463607
2,mic_F01_sa2,10.0,32,0.3,3,AllZeroesPLC,2.711904287338257,0.9635810843638697
2,mic_F01_sa2,10.0,32,0.3,3,RepeatPreviousPLC,2.6949024200439453,0.9776529031861239
2,mic_F01_sa2,10.0,32,0.3,3,Pattern,2.402615547180176,0.975070673561462
2,mic_F01_sa2,10.0,32,0.3,4,AllZeroesPLC,2.6157426834106445,0.984018414203018
2,mic_F01_sa2,10.0,32,0.3,4,RepeatPreviousPLC,3.0974314212799072,0.9874186324095217
2,mic_F01_sa2,10.0,32,0.3,4,Pattern,2.3710100650787354,0.9829891973340557
2,mic_F01_sa2,10.0,32,0.3,5,AllZeroesPLC,2.8136789798736572,0.9778288447747177
2,mic_F01_sa2,10.0,32,0.3,5,RepeatPreviousPLC,2.6046016216278076,0.9783556676782349
2,mic_F01_sa2,10.0,32,0.3,5,Pattern,2.6015231609344482,0.9787362236471139
2,mic_F01_sa2,10.0,32,0.3,6,AllZeroesPLC,3.909655809402466,0.990492725529878
2,mic_F01_sa2,10.0,32,0.3,6,RepeatPreviousPLC,3.997159004211426,0.9909869638850418
2,mic_F01_sa2,10.0,32,0.3,6,Pattern,3.944575786590576,0.9906885528399744
2,mic_F01_sa2,10.0,32,0.3,7,AllZeroesPLC,3.6963202953338623,0.9888814346277792
2,mic_F01_sa2,10.0,32,0.3,7,RepeatPreviousPLC,3.5628583431243896,0.9890307652301259
2,mic_F01_sa2,10.0,32,0.3,7,Pattern,3.617244243621826,0.9893429500047677
2,mic_F01_sa2,10.0,32,0.3,8,AllZeroesPLC,2.7759346961975098,0.9746229770052673
2,mic_F01_sa2,10.0,32,0.3,8,RepeatPreviousPLC,3.0572350025177,0.9845844945294425
2,mic_F01_sa2,10.0,32,0.3,8,Pattern,2.5749430656433105,0.9755137611814456
2,mic_F01_sa2,10.0,32,0.3,9,AllZeroesPLC,3.415969133377075,0.9880796213078099
2,mic_F01_sa2,10.0,32,0.3,9,RepeatPreviousPLC,3.45821475982666,0.9895585997875221
2,mic_F01_sa2,10.0,32,0.3,9,Pattern,3.2970473766326904,0.9882945184723617
2,mic_F07_si1588,10.0,32,0.3,0,AllZeroesPLC,2.249492883682251,0.9661429264266718
2,mic_F07_si1588,10.0,32,0.3,0,RepeatPreviousPLC,3.2900054454803467,0.9817870294040345
2,mic_F07_si1588,10.0,32,0.3,0,Pattern,2.159452438354492,0.9680221527129809
2,mic_F07_si1588,10.0,32,0.3,1,AllZeroesPLC,3.1010308265686035,0.9793673294124856
2,mic_F07_si1588,10.0,32,0.3,1,RepeatPreviousPLC,3.3301141262054443,0.9851454605639605
2,mic_F07_si1588,10.0,32,0.3,1,Pattern,2.852282762527466,0.9804627812675322
2,mic_F07_si1588,10.0,32,0.3,2,AllZeroesPLC,3.168191909790039,0.97354087407702
2,mic_F07_si1588,10.0,32,0.3,2,RepeatPreviousPLC,3.4308080673217773,0.9847757887685692
2,mic_F07_si1588,10.0,32,0.3,2,Pattern,2.7129130363464355,0.9775102882873277
2,mic_F07_si1588,10.0,32,0.3,3,AllZeroesPLC,2.9075140953063965,0.9802243230846255
2,mic_F07_si1588,10.0,32,0.3,3,RepeatPreviousPLC,3.1397101879119873,0.9863124256780147
2,mic_F07_si1588,10.0,32,0.3,3,Pattern,2.6443002223968506,0.9829965229330458
2,mic_F07_si1588,10.0,32,0.3,4,AllZeroesPLC,2.9101035594940186,0.9743666436595371
2,mic_F07_si1588,10.0,32,0.3,4,RepeatPreviousPLC,3.6216423511505127,0.9848866388862298
2,mic_F07_si1588,10.0,32,0.3,4,Pattern,2.6273505687713623,0.9749982629784008
2,mic_F07_si1588,10.0,32,0.3,5,AllZeroesPLC,2.7862250804901123,0.9745417517647137
2,mic_F07_si1588,10.0,32,0.3,5,RepeatPreviousPLC,2.725698232650757,0.9825784434615491
2,mic_F07_si1588,10.0,32,0.3,5,Pattern,2.6349732875823975,0.9795463874733097
2,mic_F07_si1588,10.0,32,0.3,6,AllZeroesPLC,2.180386543273926,0.9662428831265418
2,mic_F07_si1588,10.0,32,0.3,6,RepeatPreviousPLC,3.1717946529388428,0.9804180332547027
2,mic_F07_si1588,10.0,32,0.3,6,Pattern,2.127652168273926,0.9652290358409955
