BIGConf,audiofile,framedurationms,kbitspersecond,PER,exp,PLC,pesq,stoi
1,mic_F01_sa2,10.0,32,0.3,0,Pattern,2.7587428092956543,0.9781093378819505
1,mic_F01_sa2,10.0,32,0.3,1,Pattern,2.4489521980285645,0.9738026891102007
1,mic_F01_sa2,10.0,32,0.3,2,Pattern,2.8389060497283936,0.9754124172898494
1,mic_F01_sa2,10.0,32,0.3,3,Pattern,2.8122150897979736,0.9722308707950662
1,mic_F01_sa2,10.0,32,0.3,4,Pattern,2.7304062843322754,0.9769706294327201
1,mic_F01_sa2,10.0,32,0.3,5,Pattern,2.86217999458313,0.975085742363063
1,mic_F01_sa2,10.0,32,0.3,6,Pattern,2.7413668632507324,0.9736276422282129
1,mic_F01_sa2,10.0,32,0.3,7,Pattern,2.8850619792938232,0.9788544786556254
1,mic_F01_sa2,10.0,32,0.3,8,Pattern,2.4521520137786865,0.9794220106678083
1,mic_F01_sa2,10.0,32,0.3,9,Pattern,2.862335205078125,0.9782730068962953
1,mic_F07_si1588,10.0,32,0.3,0,Pattern,3.2853894233703613,0.980974830724827
1,mic_F07_si1588,10.0,32,0.3,1,Pattern,2.8235244750976562,0.9755228391789332
1,mic_F07_si1588,10.0,32,0.3,2,Pattern,2.914674997329712,0.9749007353439433
1,mic_F07_si1588,10.0,32,0.3,3,Pattern,2.6015260219573975,0.9726599434416093
1,mic_F07_si1588,10.0,32,0.3,4,Pattern,2.9263782501220703,0.9787365240063584
1,mic_F07_si1588,10.0,32,0.3,5,Pattern,3.369689464569092,0.9805944882433822
1,mic_F07_si1588,10.0,32,0.3,6,Pattern,2.9698798656463623,0.9736794709515791
1,mic_F07_si1588,10.0,32,0.3,7,Pattern,2.8614745140075684,0.9787722749207083
1,mic_F07_si1588,10.0,32,0.3,8,Pattern,2.8355653285980225,0.9687123207152114
1,mic_F07_si1588,10.0,32,0.3,9,Pattern,3.2154502868652344,0.9775754889603764
1,mic_M01_si453,10.0,32,0.3,0,Pattern,3.0824499130249023,0.9828262932766386
1,mic_M01_si453,10.0,32,0.3,1,Pattern,2.0472934246063232,0.9615558431709275
1,mic_M01_si453,10.0,32,0.3,2,Pattern,2.3624894618988037,0.9638759839476609
1,mic_M01_si453,10.0,32,0.3,3,Pattern,2.7319819927215576,0.9702595543032712
1,mic_M01_si453,10.0,32,0.3,4,Pattern,2.768202781677246,0.9747451028131627
1,mic_M01_si453,10.0,32,0.3,5,Pattern,2.305062770843506,0.9597576984945513
1,mic_M01_si453,10.0,32,0.3,6,Pattern,3.024898052215576,0.9802793772592405
1,mic_M01_si453,10.0,32,0.3,7,Pattern,2.8232505321502686,0.9688761950347121
1,mic_M01_si453,10.0,32,0.3,8,Pattern,2.735600471496582,0.9768894205834661
1,mic_M01_si453,10.0,32,0.3,9,Pattern,2.636741876602173,0.9705863700548764
1,mic_M05_sa1,10.0,32,0.3,0,Pattern,2.7075979709625244,0.9621601110429481
1,mic_M05_sa1,10.0,32,0.3,1,Pattern,2.85571026802063,0.9697823913623433
1,mic_M05_sa1,10.0,32,0.3,2,Pattern,3.0503201484680176,0.9697324209665639
1,mic_M05_sa1,10.0,32,0.3,3,Pattern,2.9886715412139893,0.9696739625064863
1,mic_M05_sa1,10.0,32,0.3,4,Pattern,3.1153011322021484,0.9698428266201139
1,mic_M05_sa1,10.0,32,0.3,5,Pattern,3.223572015762329,0.9749008875461321
1,mic_M05_sa1,10.0,32,0.3,6,Pattern,2.1461617946624756,0.9560670994199932
1,mic_M05_sa1,10.0,32,0.3,7,Pattern,2.6438486576080322,0.9667745396392148
1,mic_M05_sa1,10.0,32,0.3,8,Pattern,3.231205463409424,0.9707322830242257
1,mic_M05_sa1,10.0,32,0.3,9,Pattern,3.3062655925750732,0.9802357264949626
2,mic_F01_sa2,10.0,32,0.3,0,Pattern,3.1613500118255615,0.9857829356004906
2,mic_F01_sa2,10.0,32,0.3,1,Pattern,3.2219433784484863,0.9843454516822756
2,mic_F01_sa2,10.0,32,0.3,2,Pattern,3.539802312850952,0.9837743304715363
2,mic_F01_sa2,10.0,32,0.3,3,Pattern,3.3432610034942627,0.9838197609606744
2,mic_F01_sa2,10.0,32,0.3,4,Pattern,3.7736921310424805,0.988463595808492
2,mic_F01_sa2,10.0,32,0.3,5,Pattern,2.6356472969055176,0.9791669077495085
2,mic_F01_sa2,10.0,32,0.3,6,Pattern,4.15774393081665,0.9919852220733771
2,mic_F01_sa2,10.0,32,0.3,7,Pattern,3.7759997844696045,0.9904020453781289
2,mic_F01_sa2,10.0,32,0.3,8,Pattern,3.810171365737915,0.98834656064595
2,mic_F01_sa2,10.0,32,0.3,9,Pattern,3.9638495445251465,0.9912570092386364
2,mic_F07_si1588,10.0,32,0.3,0,Pattern,4.067556858062744,0.9884227756497934
2,mic_F07_si1588,10.0,32,0.3,1,Pattern,3.998481035232544,0.9863393488945131
2,mic_F07_si1588,10.0,32,0.3,2,Pattern,3.8765599727630615,0.988196157735818
2,mic_F07_si1588,10.0,32,0.3,3,Pattern,3.772367477416992,0.9877681450417416
2,mic_F07_si1588,10.0,32,0.3,4,Pattern,4.185540676116943,0.9901320847468115
2,mic_F07_si1588,10.0,32,0.3,5,Pattern,3.199449300765991,0.9880574380323072
2,mic_F07_si1588,10.0,32,0.3,6,Pattern,3.892791986465454,0.9886244488249644
2,mic_F07_si1588,10.0,32,0.3,7,Pattern,3.996229410171509,0.9881579713966793
2,mic_F07_si1588,10.0,32,0.3,8,Pattern,3.8135437965393066,0.9879080725762097
2,mic_F07_si1588,10.0,32,0.3,9,Pattern,3.36055326461792,0.9838161793078587
2,mic_M01_si453,10.0,32,0.3,0,Pattern,3.298910140991211,0.9824588138419491
2,mic_M01_si453,10.0,32,0.3,1,Pattern,3.4200785160064697,0.9804623749050101
2,mic_M01_si453,10.0,32,0.3,2,Pattern,4.138012886047363,0.9880793267909307
2,mic_M01_si453,10.0,32,0.3,3,Pattern,3.2717933654785156,0.9807578671250751
2,mic_M01_si453,10.0,32,0.3,4,Pattern,3.698512077331543,0.9862618462323376
2,mic_M01_si453,10.0,32,0.3,5,Pattern,3.6837985515594482,0.9866546900024897
2,mic_M01_si453,10.0,32,0.3,6,Pattern,3.1417975425720215,0.980719918816804
2,mic_M01_si453,10.0,32,0.3,7,Pattern,4.036871910095215,0.986976163019335
2,mic_M01_si453,10.0,32,0.3,8,Pattern,3.854243278503418,0.9846472932205245
2,mic_M01_si453,10.0,32,0.3,9,Pattern,4.082100868225098,0.9879091151052967
2,mic_M05_sa1,10.0,32,0.3,0,Pattern,3.4936282634735107,0.9861379175171188
2,mic_M05_sa1,10.0,32,0.3,1,Pattern,3.5224876403808594,0.9821469451312068
2,mic_M05_sa1,10.0,32,0.3,2,Pattern,4.016875743865967,0.9892514838356028
2,mic_M05_sa1,10.0,32,0.3,3,Pattern,3.6468589305877686,0.9871792016846942
2,mic_M05_sa1,10.0,32,0.3,4,Pattern,3.554208993911743,0.983822729345708
2,mic_M05_sa1,10.0,32,0.3,5,Pattern,3.754284143447876,0.9833106729498362
2,mic_M05_sa1,10.0,32,0.3,6,Pattern,3.765794277191162,0.984033336162372
2,mic_M05_sa1,10.0,32,0.3,7,Pattern,3.633824586868286,0.9875946980675901
2,mic_M05_sa1,10.0,32,0.3,8,Pattern,3.979165554046631,0.9889420558961689
