BIGConf,audiofile,framedurationms,kbitspersecond,PER,exp,PLC,pesq,stoi
2,mic_F01_sa2,10.0,32,0.3,0,Pattern,3.0172739028930664,0.9823568774759639
2,mic_F01_sa2,10.0,32,0.3,1,Pattern,2.775765895843506,0.9825422916830583
2,mic_F01_sa2,10.0,32,0.3,2,Pattern,3.1579673290252686,0.9818202884163992
2,mic_F01_sa2,10.0,32,0.3,3,Pattern,2.6644980907440186,0.9787613252698337
2,mic_F01_sa2,10.0,32,0.3,4,Pattern,3.1301465034484863,0.9881079628787339
2,mic_F01_sa2,10.0,32,0.3,5,Pattern,2.5803842544555664,0.9780736563156728
2,mic_F01_sa2,10.0,32,0.3,6,Pattern,4.00137186050415,0.9913198506748887
2,mic_F01_sa2,10.0,32,0.3,7,Pattern,3.573704481124878,0.9893520666294352
2,mic_F01_sa2,10.0,32,0.3,8,Pattern,3.0528862476348877,0.9849366896655057
2,mic_F01_sa2,10.0,32,0.3,9,Pattern,3.468824863433838,0.9898565135093851
2,mic_F07_si1588,10.0,32,0.3,0,Pattern,3.221248149871826,0.9820362205608787
2,mic_F07_si1588,10.0,32,0.3,1,Pattern,3.4365897178649902,0.9838631710428386
2,mic_F07_si1588,10.0,32,0.3,2,Pattern,3.4552438259124756,0.9851615235560816
2,mic_F07_si1588,10.0,32,0.3,3,Pattern,3.3276782035827637,0.9870819096461573
2,mic_F07_si1588,10.0,32,0.3,4,Pattern,3.569227695465088,0.9848647544601521
2,mic_F07_si1588,10.0,32,0.3,5,Pattern,2.753567934036255,0.9828512187665427
2,mic_F07_si1588,10.0,32,0.3,6,Pattern,3.238649845123291,0.9807813345616023
2,mic_F07_si1588,10.0,32,0.3,7,Pattern,3.4218924045562744,0.9843910073225322
2,mic_F07_si1588,10.0,32,0.3,8,Pattern,3.3085598945617676,0.9811761590057949
2,mic_F07_si1588,10.0,32,0.3,9,Pattern,3.0002894401550293,0.9831668734199085
2,mic_M01_si453,10.0,32,0.3,0,Pattern,2.773721218109131,0.9785353268096713
2,mic_M01_si453,10.0,32,0.3,1,Pattern,2.7686240673065186,0.9776363884027791
2,mic_M01_si453,10.0,32,0.3,2,Pattern,4.108525276184082,0.9880852193847838
2,mic_M01_si453,10.0,32,0.3,3,Pattern,2.467494010925293,0.9699833478979877
2,mic_M01_si453,10.0,32,0.3,4,Pattern,3.261910915374756,0.9846227976018126
2,mic_M01_si453,10.0,32,0.3,5,Pattern,3.6837985515594482,0.9866546900024897
2,mic_M01_si453,10.0,32,0.3,6,Pattern,2.685901403427124,0.9762478868553323
2,mic_M01_si453,10.0,32,0.3,7,Pattern,4.056542873382568,0.9875538299334484
2,mic_M01_si453,10.0,32,0.3,8,Pattern,3.470659017562866,0.9841237016581287
2,mic_M01_si453,10.0,32,0.3,9,Pattern,4.082100868225098,0.9879091151052967
2,mic_M05_sa1,10.0,32,0.3,0,Pattern,3.5514609813690186,0.9862926758762561
2,mic_M05_sa1,10.0,32,0.3,1,Pattern,3.298732042312622,0.9802778770991492
2,mic_M05_sa1,10.0,32,0.3,2,Pattern,3.750767230987549,0.983902545339682
2,mic_M05_sa1,10.0,32,0.3,3,Pattern,3.2285585403442383,0.9846373632224295
2,mic_M05_sa1,10.0,32,0.3,4,Pattern,2.8823795318603516,0.9819704706507855
2,mic_M05_sa1,10.0,32,0.3,5,Pattern,3.309868097305298,0.9781714775067967
2,mic_M05_sa1,10.0,32,0.3,6,Pattern,3.6090519428253174,0.9839456435631369
2,mic_M05_sa1,10.0,32,0.3,7,Pattern,3.0554208755493164,0.9851436403369507
2,mic_M05_sa1,10.0,32,0.3,8,Pattern,3.752659797668457,0.9872589779417621
2,mic_M05_sa1,10.0,32,0.3,9,Pattern,3.742086410522461,0.9872656414142096
3,mic_F01_sa2,10.0,32,0.3,0,Pattern,3.359896659851074,0.986447059002
3,mic_F01_sa2,10.0,32,0.3,1,Pattern,3.685570478439331,0.9892439760669998
3,mic_F01_sa2,10.0,32,0.3,2,Pattern,3.8304145336151123,0.9903587040911375
3,mic_F01_sa2,10.0,32,0.3,3,Pattern,3.191628932952881,0.9856916015662914
3,mic_F01_sa2,10.0,32,0.3,4,Pattern,3.371919870376587,0.986688885222109
3,mic_F01_sa2,10.0,32,0.3,5,Pattern,3.6876440048217773,0.9855110100179356
3,mic_F01_sa2,10.0,32,0.3,6,Pattern,4.1801981925964355,0.9920621462264139
3,mic_F01_sa2,10.0,32,0.3,7,Pattern,4.180150985717773,0.992032235861173
3,mic_F01_sa2,10.0,32,0.3,8,Pattern,4.1801981925964355,0.9920621462264139
3,mic_F01_sa2,10.0,32,0.3,9,Pattern,3.8618459701538086,0.9915323530821367
3,mic_F07_si1588,10.0,32,0.3,0,Pattern,3.7989842891693115,0.9894080991371691
3,mic_F07_si1588,10.0,32,0.3,1,Pattern,4.140340805053711,0.990338841731534
3,mic_F07_si1588,10.0,32,0.3,2,Pattern,4.000016689300537,0.9906156583715584
3,mic_F07_si1588,10.0,32,0.3,3,Pattern,4.107489109039307,0.9902346305242827
3,mic_F07_si1588,10.0,32,0.3,4,Pattern,4.094324588775635,0.9890100560652874
3,mic_F07_si1588,10.0,32,0.3,5,Pattern,4.261658191680908,0.9912208306209556
3,mic_F07_si1588,10.0,32,0.3,6,Pattern,4.020946502685547,0.9881145626908077
3,mic_F07_si1588,10.0,32,0.3,7,Pattern,4.142158508300781,0.9908641058755374
3,mic_F07_si1588,10.0,32,0.3,8,Pattern,4.083226680755615,0.9898380028426513
3,mic_F07_si1588,10.0,32,0.3,9,Pattern,3.9307937622070312,0.9866067576071826
3,mic_M01_si453,10.0,32,0.3,0,Pattern,3.310596466064453,0.98157972934847
3,mic_M01_si453,10.0,32,0.3,1,Pattern,4.167269229888916,0.9881989137160285
3,mic_M01_si453,10.0,32,0.3,2,Pattern,4.173406600952148,0.9882468097221936
3,mic_M01_si453,10.0,32,0.3,3,Pattern,3.2810025215148926,0.9821133719410242
3,mic_M01_si453,10.0,32,0.3,4,Pattern,4.131346225738525,0.9880395298659695
3,mic_M01_si453,10.0,32,0.3,5,Pattern,3.7103989124298096,0.9871262263100338
3,mic_M01_si453,10.0,32,0.3,6,Pattern,4.173406600952148,0.9882468097221936
3,mic_M01_si453,10.0,32,0.3,7,Pattern,3.2297098636627197,0.9820432151196202
3,mic_M01_si453,10.0,32,0.3,8,Pattern,3.9555230140686035,0.9877865001650882
3,mic_M01_si453,10.0,32,0.3,9,Pattern,4.059771537780762,0.9876210053374179
3,mic_M05_sa1,10.0,32,0.3,0,Pattern,4.036750316619873,0.9886720778611243
3,mic_M05_sa1,10.0,32,0.3,1,Pattern,3.7463958263397217,0.9894874404858663
3,mic_M05_sa1,10.0,32,0.3,2,Pattern,4.195339679718018,0.9903288243959776
3,mic_M05_sa1,10.0,32,0.3,3,Pattern,4.056417465209961,0.9865958546805105
3,mic_M05_sa1,10.0,32,0.3,4,Pattern,4.426510334014893,0.9912725399199619
3,mic_M05_sa1,10.0,32,0.3,5,Pattern,3.7592973709106445,0.9879136726153033
3,mic_M05_sa1,10.0,32,0.3,6,Pattern,4.338146209716797,0.9907765434531753
3,mic_M05_sa1,10.0,32,0.3,7,Pattern,4.427149772644043,0.9914744689395969
3,mic_M05_sa1,10.0,32,0.3,8,Pattern,4.310297012329102,0.9914744689395972
3,mic_M05_sa1,10.0,32,0.3,9,Pattern,3.642565965652466,0.9869036879640791
1,mic_F01_sa2,10.0,32,0.3,0,Pattern,2.0105481147766113,0.9642813252360116
1,mic_F01_sa2,10.0,32,0.3,1,Pattern,1.870546579360962,0.9566891723915923
1,mic_F01_sa2,10.0,32,0.3,2,Pattern,2.027099609375,0.9580032964354737
1,mic_F01_sa2,10.0,32,0.3,3,Pattern,1.970529556274414,0.9572892195729549
1,mic_F01_sa2,10.0,32,0.3,4,Pattern,2.1237659454345703,0.9662383622126708
1,mic_F01_sa2,10.0,32,0.3,5,Pattern,2.1662402153015137,0.9604075021846602
1,mic_F01_sa2,10.0,32,0.3,6,Pattern,1.9650673866271973,0.9597615246806254
1,mic_F01_sa2,10.0,32,0.3,7,Pattern,2.204432725906372,0.9722149800841957
1,mic_F01_sa2,10.0,32,0.3,8,Pattern,1.9542551040649414,0.9648491491906176
1,mic_F01_sa2,10.0,32,0.3,9,Pattern,2.126788377761841,0.9612815964806556
1,mic_F07_si1588,10.0,32,0.3,0,Pattern,2.651810646057129,0.9735221126962835
1,mic_F07_si1588,10.0,32,0.3,1,Pattern,2.2182652950286865,0.9655448846702093
1,mic_F07_si1588,10.0,32,0.3,2,Pattern,2.005033493041992,0.9592271339848177
1,mic_F07_si1588,10.0,32,0.3,3,Pattern,2.3681411743164062,0.9642558767922522
1,mic_F07_si1588,10.0,32,0.3,4,Pattern,2.6956443786621094,0.9741943707222891
1,mic_F07_si1588,10.0,32,0.3,5,Pattern,2.91178297996521,0.9743603706331451
1,mic_F07_si1588,10.0,32,0.3,6,Pattern,2.2902944087982178,0.9604967477638529
1,mic_F07_si1588,10.0,32,0.3,7,Pattern,2.3411989212036133,0.9661472769277543
1,mic_F07_si1588,10.0,32,0.3,8,Pattern,2.295293092727661,0.9580345498791158
1,mic_F07_si1588,10.0,32,0.3,9,Pattern,2.3384079933166504,0.9690314549022313
1,mic_M01_si453,10.0,32,0.3,0,Pattern,3.0581090450286865,0.9832369718275192
1,mic_M01_si453,10.0,32,0.3,1,Pattern,1.7780566215515137,0.9575148298019839
1,mic_M01_si453,10.0,32,0.3,2,Pattern,2.156826972961426,0.9547838525362194
1,mic_M01_si453,10.0,32,0.3,3,Pattern,2.3084003925323486,0.9653704835482533
1,mic_M01_si453,10.0,32,0.3,4,Pattern,2.128875970840454,0.9589047925854914
1,mic_M01_si453,10.0,32,0.3,5,Pattern,1.8766343593597412,0.9590110574378284
1,mic_M01_si453,10.0,32,0.3,6,Pattern,2.437350034713745,0.9743722806506003
1,mic_M01_si453,10.0,32,0.3,7,Pattern,1.823042869567871,0.961918391785311
1,mic_M01_si453,10.0,32,0.3,8,Pattern,2.1767003536224365,0.9620016839689706
1,mic_M01_si453,10.0,32,0.3,9,Pattern,2.1615076065063477,0.9689660423837331
1,mic_M05_sa1,10.0,32,0.3,0,Pattern,2.2953121662139893,0.9595461066783092
1,mic_M05_sa1,10.0,32,0.3,1,Pattern,2.4515607357025146,0.9616858369413531
1,mic_M05_sa1,10.0,32,0.3,2,Pattern,2.248812198638916,0.9505497442430522
1,mic_M05_sa1,10.0,32,0.3,3,Pattern,2.652996063232422,0.9595482972610393
1,mic_M05_sa1,10.0,32,0.3,4,Pattern,2.4488484859466553,0.9650892849115099
1,mic_M05_sa1,10.0,32,0.3,5,Pattern,3.0001869201660156,0.9713101982225089
1,mic_M05_sa1,10.0,32,0.3,6,Pattern,2.0657317638397217,0.9572676556424591
1,mic_M05_sa1,10.0,32,0.3,7,Pattern,2.423581600189209,0.9580289870954962
1,mic_M05_sa1,10.0,32,0.3,8,Pattern,2.621306896209717,0.9636644152504802
1,mic_M05_sa1,10.0,32,0.3,9,Pattern,2.5764105319976807,0.9791710750780266
7,mic_F01_sa2,10.0,32,0.3,0,Pattern,4.1801981925964355,0.9920621462264139
7,mic_F01_sa2,10.0,32,0.3,1,Pattern,4.1801981925964355,0.9920621462264139
7,mic_F01_sa2,10.0,32,0.3,2,Pattern,4.1801981925964355,0.9920621462264139
7,mic_F01_sa2,10.0,32,0.3,3,Pattern,4.1801981925964355,0.9920621462264139
7,mic_F01_sa2,10.0,32,0.3,4,Pattern,4.1801981925964355,0.9920621462264139
7,mic_F01_sa2,10.0,32,0.3,5,Pattern,4.1801981925964355,0.9920621462264139
7,mic_F01_sa2,10.0,32,0.3,6,Pattern,4.1801981925964355,0.9920621462264139
7,mic_F01_sa2,10.0,32,0.3,7,Pattern,4.1801981925964355,0.9920621462264139
7,mic_F01_sa2,10.0,32,0.3,8,Pattern,4.1801981925964355,0.9920621462264139
7,mic_F01_sa2,10.0,32,0.3,9,Pattern,4.1801981925964355,0.9920621462264139
7,mic_F07_si1588,10.0,32,0.3,0,Pattern,4.287543773651123,0.9913843685447438
7,mic_F07_si1588,10.0,32,0.3,1,Pattern,4.287543773651123,0.9913843685447438
7,mic_F07_si1588,10.0,32,0.3,2,Pattern,4.287543773651123,0.9913843685447438
7,mic_F07_si1588,10.0,32,0.3,3,Pattern,4.287543773651123,0.9913843685447438
7,mic_F07_si1588,10.0,32,0.3,4,Pattern,4.287543773651123,0.9913843685447438
7,mic_F07_si1588,10.0,32,0.3,5,Pattern,4.287543773651123,0.9913843685447438
7,mic_F07_si1588,10.0,32,0.3,6,Pattern,4.287543773651123,0.9913843685447438
7,mic_F07_si1588,10.0,32,0.3,7,Pattern,4.287543773651123,0.9913843685447438
7,mic_F07_si1588,10.0,32,0.3,8,Pattern,4.287543773651123,0.9913843685447438
7,mic_F07_si1588,10.0,32,0.3,9,Pattern,4.287543773651123,0.9913843685447438
7,mic_M01_si453,10.0,32,0.3,0,Pattern,4.173406600952148,0.9882468097221936
7,mic_M01_si453,10.0,32,0.3,1,Pattern,4.173406600952148,0.9882468097221936
7,mic_M01_si453,10.0,32,0.3,2,Pattern,4.173406600952148,0.9882468097221936
7,mic_M01_si453,10.0,32,0.3,3,Pattern,4.173406600952148,0.9882468097221936
7,mic_M01_si453,10.0,32,0.3,4,Pattern,4.173406600952148,0.9882468097221936
7,mic_M01_si453,10.0,32,0.3,5,Pattern,4.173406600952148,0.9882468097221936
7,mic_M01_si453,10.0,32,0.3,6,Pattern,4.173406600952148,0.9882468097221936
7,mic_M01_si453,10.0,32,0.3,7,Pattern,4.173406600952148,0.9882468097221936
7,mic_M01_si453,10.0,32,0.3,8,Pattern,4.173406600952148,0.9882468097221936
7,mic_M01_si453,10.0,32,0.3,9,Pattern,4.173406600952148,0.9882468097221936
